customer_id,account_number,account_type,balance,interest_rate,credit_limit
c6c3d4e0-5170-4d81-b61f-a8a236dba550,GB06VLUX42689568575323,Checking,46597.86,0.22,0.0
bfc30325-5ef2-4915-b193-1c93d73e4733,GB86TTVZ95759477769038,Savings,18555.32,4.53,10375.52
888ef41a-80aa-4511-bde5-ef9dc17f117d,GB63CDMI71921813626239,Savings,24824.24,4.15,11044.68
9805a990-e91f-47a1-bc80-337fb16f223c,GB06ZDPR07373996889358,Savings,16224.59,3.75,0.0
8779bf6c-9a88-49ed-b246-9ad6c100f830,GB65TUMB14335471100406,Credit,3658.14,4.82,0.0
d2cdf057-b21a-4edd-9497-342514637ecf,GB53KCXH01707276916156,Checking,12824.56,0.5,11812.65
dcd48f24-c4de-4777-8cb2-4b58045b2ff4,GB84JBMV54596234010038,Savings,18383.33,3.49,14966.78
0322a53b-f592-40a8-9025-020945886efd,GB20ZLND21776723883393,Savings,5510.47,4.23,10991.44
b92538f4-f956-4d61-aa4f-9e8d6d2c9401,GB61CTWJ96994370239266,Checking,49596.28,0.98,5590.06
9037981a-6083-49b8-8b75-8da6b684445b,GB84WANP66408167260117,Checking,18220.13,3.67,5828.77
b13ffa12-6fa1-4577-bf71-eabbc5e05848,GB89SMXP60244459770917,Savings,5769.64,0.54,1663.88
30cd3e97-5367-49d8-bfdd-8f35dfe2d525,GB05SUOJ49310473921744,Savings,12526.54,2.37,13731.75
b99d4c3e-0064-4b88-8b1e-b6fc0da78862,GB54KKSM79791524372496,Checking,31008.96,3.82,4207.53
35b25340-960f-47f0-b19c-5dd8b6c828e5,GB78IYZY65910665642489,Savings,24040.19,0.82,0.0
2b256eef-9bc0-4da0-b9a3-8afce4f35655,GB76QFSQ40252563212832,Checking,3439.32,2.85,12125.41
fb92f496-201a-4a59-9afc-091372b68c37,GB82RAUA67333005795045,Savings,1093.98,2.41,0.0
777c08d1-4c02-48a9-becb-e85acecfb2b3,GB52VJDW00160853627650,Credit,29622.58,2.55,11646.25
6c3db0b5-ea85-4eac-9d24-2f3cc681451d,GB14FEDO26935226360757,Credit,30048.4,1.18,6159.65
60d8998f-060b-4ffe-8996-a79ed51bedce,GB38UNMH07189015079659,Checking,19935.34,2.1,3330.06
b831d3fb-4c4f-4c72-9d40-d9b53649158f,GB16IFZK02158378646227,Checking,47817.89,0.57,9619.9
ea8fc627-cebe-47f2-a342-c1ed4e1e4615,GB12OKAF45343161529608,Checking,26148.55,2.2,0.0
e15ca4d6-09a3-40c5-b78b-94f6f013289b,GB22ZIXK84907075720932,Savings,14444.17,3.69,0.0
8f079ecc-3ecb-418b-a7db-1e4c6805fb2c,GB75HHCG68177675742791,Checking,23693.84,0.56,16517.77
37166d68-a3e4-4de3-9db2-a8f139002305,GB91POQI11696811262947,Checking,25944.34,0.75,14220.42
f28d77fd-3aef-43eb-a8d7-23d0d2dbff46,GB24EGYZ13152581431952,Savings,45256.64,1.9,0.0
254180ab-4486-4599-9ec8-3d3be8f6ba38,GB21YQZT15787013926115,Checking,40528.61,2.8,0.0
4beb3862-0da7-4275-8796-b90cbe589dea,GB95QXXA81853786504670,Credit,43669.43,1.18,10691.19
e4eb3461-7905-4c27-82ab-422eaef2bb78,GB17VOBY23855633836284,Credit,1732.34,1.47,0.0
2f455a46-e307-4467-8261-42dad752d2f1,GB13JMJF66038020750411,Credit,18688.71,0.61,18597.71
0fa5d1c1-7111-40df-bfae-bd150249c177,GB33UXBC04599360276600,Credit,38717.16,1.88,6482.55
961cc0c2-6924-493b-95d0-846cdd2efaa0,GB92BJXY09269499706554,Checking,40165.94,2.93,19100.89
fb1a7ea0-f8a2-4f8b-8c85-47334150ad53,GB88XZFJ28183093891588,Checking,47311.76,2.79,15904.51
3cb31444-e7fc-490b-a383-6d1769c880d4,GB36QLVU71128943831355,Credit,25960.58,1.02,5541.69
aac169bf-2899-4f05-bb75-73fb3ba74c7f,GB60MKGS15094211197624,Checking,10730.67,3.94,19119.88
937317ec-10de-4dc2-8b0f-7f6e8e46615a,GB05MFCU92528811944275,Checking,19199.82,1.25,0.0
61726b54-3f14-4f32-9609-ae3d073217ec,GB69DRKL76509617467287,Checking,40231.57,2.19,0.0
b993d698-55f3-493b-a4ce-4fe1e19afb10,GB89QOVR08338220308444,Credit,25839.84,2.84,15610.78
85fec3d6-e562-40c9-9ac4-317aa2d70a73,GB05WDFK99456761528669,Credit,10441.77,4.25,0.0
04aca640-6335-4539-8ff8-03d0c7c09d3e,GB72UPRQ07612272423518,Checking,26636.58,1.08,0.0
b1d7220a-964c-4585-81af-5f376b1afb4c,GB16HMIB78568779513299,Credit,3894.64,1.09,14821.03
77d06bab-39b7-4e13-bfc9-5118e7f76b0a,GB62HRHM77786808221866,Credit,45549.77,0.66,0.0
5d513911-0996-4626-a295-d4828960a155,GB83OHVU37527366709885,Savings,20661.27,3.62,0.0
c73558eb-7fc7-492e-ac3b-6f91b1450422,GB87RPLI55434513925614,Credit,11320.34,0.64,0.0
f21b8fe1-221b-4029-9c74-ee9fd2b545bc,GB32LYVI72465203927431,Checking,535.6,4.32,0.0
025adda3-b57c-4402-929a-27d765ea54aa,GB26ZTLE03334626892946,Checking,21042.78,2.21,0.0
d1fe0fcf-7b91-4caa-8315-71f2d015de79,GB66UYFD13590712071774,Credit,22135.17,1.57,6961.02
d6af7e3f-09fd-4454-be25-28b91b09a010,GB07DYPX94580931081883,Credit,7928.44,1.08,13244.64
6618cc30-e67c-4663-b02f-4efe03caf39c,GB86YLUV34425284002024,Credit,24384.12,3.56,19934.46
0e3c0ca7-3aac-4439-9569-942323e1def5,GB60NRCT62695563853632,Credit,13118.2,0.55,2708.64
bfa57bb5-04a7-43cf-8166-30c673ec410e,GB69KIXM18605850674142,Checking,36811.1,1.46,19465.97
c9279f02-d584-4f64-948d-2a98bdf3fe01,GB79LICQ13041672431976,Savings,38976.74,3.76,18259.48
36ad481c-dae4-4080-8c4e-06d1e5aee595,GB91ZONY31255756489270,Credit,10884.6,1.28,0.0
e4c790d0-b9a2-4911-9fd3-5d694208d0ba,GB39ZJBX13179854800358,Credit,30107.77,4.64,1977.44
b4313b54-1673-4e7b-b138-3bbc99ad1a52,GB30SSLT78502170256687,Savings,13445.88,2.77,0.0
6826d097-37d1-452d-85df-9972c9b8ce8e,GB86JKPC12639214424808,Checking,12751.23,0.17,7862.43
d515a9ec-444c-4751-84ec-a5e42d97f31d,GB87FIOY51554030311045,Checking,7822.84,1.62,7606.57
f7672697-d37a-4c2e-926a-900fc696e793,GB81DOJO19542706395174,Checking,21764.1,3.36,17679.12
ee43b4e1-ad8e-4fc6-bd8a-bb55fb7ff5bd,GB98EVMV71465368755160,Checking,45421.17,2.23,0.0
20d0a90c-2f67-4094-8636-6453b3a97fa5,GB85UBKH82858612387851,Credit,34909.56,2.09,15456.53
f339547d-40e4-4f1c-a706-fce12125ba32,GB40IABB72485206434434,Savings,11987.24,0.01,0.0
c4bbdc85-6237-4f41-a3aa-f6799fa2dd08,GB36MODR90138016009584,Credit,12222.17,2.62,19342.54
aa6fb484-26f6-47fe-bcda-992eac49179a,GB61IRBS15201584308133,Checking,37074.58,0.97,0.0
582eac81-367d-4625-a5b5-f5db65440665,GB19JXVV89117184376979,Checking,42026.96,0.17,0.0
c9dbed5d-d865-4b8a-bab1-c9d5243159d1,GB22UYZI09438401342943,Savings,15547.34,1.97,4215.17
aa954041-3420-47fc-8a5e-f37963fee2af,GB48OICV41179501776089,Checking,16090.55,2.79,0.0
d9fc172b-47e5-4cb5-a510-0919d8f2474e,GB66DZHX61121805779237,Credit,41778.85,0.09,0.0
e1b23ea0-83c1-4f62-ae39-2c0aa882f52d,GB68KPDJ13484807729931,Savings,23125.89,1.43,10185.96
97fe34f0-ca63-43e5-a1f5-1253184f8238,GB87FQDN77180715697078,Savings,14528.26,0.17,1672.82
84ea1b33-64ee-4d65-8b71-1c7064135cb9,GB31AUCT72604504818089,Checking,49900.29,2.32,12302.32
a0402825-0a9e-4f87-b95c-37612c756899,GB09UIGC10355812339130,Checking,5207.08,1.63,0.0
63ce266f-7aca-4da5-ae6e-ec3212180283,GB22ERVS23266677567091,Credit,18497.42,4.38,0.0
847f64d4-d917-49e3-9e4a-73b12bf2997d,GB07PFXX46535528521970,Credit,31740.08,4.62,0.0
eba33920-9002-455d-a2d5-1ff79fdbbe67,GB94PRCC30521099636557,Savings,46979.92,1.16,15546.58
925d3139-fa5c-4996-872f-07c1d73df79e,GB88OCYO19344267968778,Credit,34751.68,3.09,17118.52
eafbc9c3-c29d-476f-9bd7-84aac948417e,GB26KWZG50390355037898,Credit,13997.85,4.8,2760.91
b2b92850-1665-46c5-83aa-6356e4ecfdeb,GB23OJVB63196272617004,Savings,46472.87,0.75,0.0
6b158629-dcae-4774-af1d-7b722bae58d3,GB49IAWM78509137843541,Checking,15680.26,1.76,0.0
fe7660dc-9c8c-4e55-b445-97adb207dfa3,GB58APNJ89365676158503,Credit,44419.6,0.97,5429.78
70195b2e-3cb4-4b87-a272-ce4a79a7a9fd,GB65WVPU82489508326338,Savings,13575.42,4.94,18133.77
63b4d629-4ed8-46c8-b8a1-b9b1b6319d8e,GB52CCGG18380273703950,Checking,5625.0,0.09,0.0
f7eb2402-c368-4d93-bdcc-c880a6f43414,GB03OORG97772682603560,Credit,37682.97,0.34,0.0
a1ad05b6-66d0-46aa-b7bc-7b6fac94b195,GB22USHG37266782937932,Savings,22671.92,3.15,0.0
c62af00f-12ee-4030-b36b-f684821fa3fb,GB77JSTX84591097986106,Credit,17093.69,1.44,15707.1
e3e7a2fa-fe2a-45bf-9c4d-177e551c8b1f,GB21FDTW84166755459835,Checking,46701.33,4.93,9370.78
e39a3889-5c2b-499b-b217-647d14c026b7,GB77UIIY29130235473646,Savings,18779.27,3.59,0.0
57230687-ddab-44f1-8538-5e80d878df14,GB07RFCX00220016683141,Savings,47626.4,3.81,8116.72
16133857-d366-4228-9bdf-c7c91c51642d,GB39PWXR51053421706939,Savings,20477.59,2.87,9567.26
a8d5a982-6a13-424e-a6cd-6da3e02f9984,GB09SKMK58900121995047,Checking,3650.75,0.28,1789.98
ec5276d8-f7b4-4d11-8360-0684b6f236c8,GB33DMBT67570430927742,Credit,40031.2,4.13,0.0
6d47d57d-17d0-4549-9a50-86336939d673,GB78CUXA19281637104387,Savings,15540.98,3.18,0.0
2001b617-544d-4f72-8cee-a3b3be47457e,GB51UCHB62943129730508,Savings,12780.15,1.42,16483.57
690b78c1-9b7b-498a-94a1-925a607b6a4d,GB57PGVB31352262902309,Checking,43840.12,1.11,14249.87
7d0889d7-99ce-4d3a-b4e8-53de77345a8d,GB16EKRE61599979159436,Checking,3627.82,3.48,9166.84
04273bc7-ebba-4aa8-ab03-a317e62f213e,GB53FLFU75281094638323,Credit,7758.8,0.71,9369.68
421907d5-7f6c-4a5c-a013-ce9db56bafa0,GB08DKXG59058823172666,Savings,5572.03,1.51,18210.73
f915b919-42a7-4fb1-a43f-1baf0b356277,GB44CRPA67519742336487,Checking,21621.47,4.47,3481.48
e33d7d50-975f-47b1-865c-38d8a2ba92a3,GB08PWJD09056875762091,Credit,49695.31,1.16,0.0
7838382e-b0c0-4c58-a015-244c739da78b,GB05BTZT30310062094180,Credit,2596.66,2.71,3985.18
f54d8e91-cd11-4b5b-8cc2-3e012060544b,GB96OVYU83896600874556,Credit,28391.03,1.02,0.0
899f0b56-ad66-4dda-9668-ffa49f049e0f,GB34TCCN92781178864293,Checking,18950.38,4.34,5198.25
c38e8242-d623-45d2-9f08-7df4d736eebf,GB41CNVW70536398499410,Savings,26805.75,0.05,14409.99
672b67a7-c2eb-4faa-92bb-af7f2d14f13c,GB66GDIZ16906306232170,Savings,49946.84,3.37,17508.65
233464e2-1e89-47ba-98a4-80814e23a185,GB02JVII39734508683181,Checking,32244.23,3.47,5369.19
b695d947-8062-4a2a-9c55-603ecb116f37,GB02KPTB37384036650748,Credit,6458.11,1.31,0.0
5813c2e3-a0ce-40ec-a443-93209c84aa23,GB83MYYJ53808771729045,Checking,15326.91,4.4,15616.87
548a9043-adaa-4b7e-a76f-292f8a14d6dd,GB60YBYI98390731313239,Credit,46786.33,3.85,17859.39
07a28481-020a-437a-a38c-b59ea558e567,GB04TJZC90490435792023,Savings,46841.65,2.09,0.0
07cab869-4170-4bcd-a254-7e160c08c343,GB78FZGA22742983427065,Credit,9047.97,3.72,8691.8
257c5398-18ba-46f6-9fce-691891625981,GB71JFQU35061084552346,Credit,1174.59,2.14,8582.34
95a69fec-f6a2-4368-8642-8db030fcd9ec,GB90URFT02036041110366,Checking,12765.29,2.06,0.0
f74f5af0-f9ca-420b-9226-3180f3b8a134,GB66MROT49423375982481,Credit,17809.45,4.67,15830.65
9a4a238a-8cf2-4adc-af88-fb21730d56d7,GB50OCZG36351556037687,Credit,19272.66,4.76,0.0
04793f04-b261-493b-a66d-210cc9af864f,GB71PROA18119484035314,Checking,31966.81,2.33,0.0
b10a02a0-b714-4835-860d-4d68e96b246a,GB98FWWG25181214373393,Checking,17363.07,1.64,14673.53
91bc3027-eca7-4ebf-8b11-155ffa529762,GB94VAAJ28278811858062,Credit,19591.95,3.66,13631.06
6758e206-4960-46df-a361-0c15b83ce18b,GB84TUFS55355310621619,Checking,38269.81,2.4,0.0
9a925ca8-e410-4926-9bc5-820e638cd983,GB97LNFD99189714592934,Savings,46306.84,3.86,0.0
279df499-38bb-4338-b897-01861e40f41c,GB83FAXR39834842803046,Credit,43560.46,0.15,19331.83
bcb6fb17-6ea4-4008-b581-b4ed5d841a65,GB21PFOB86188519973766,Credit,29794.85,3.4,16313.44
6f514d5a-0a32-4c8d-a196-0e6576cb25d8,GB50ZBDL87734794790910,Credit,40947.61,0.42,10081.12
ced1b500-5828-4fd5-b10a-740edac8d541,GB36IROE69472780661562,Credit,34275.43,0.09,12962.83
f8e7b2e0-f23a-4e20-b801-3efbb1994a08,GB44YSMG39123323917908,Credit,45358.23,1.25,10172.63
3a49d4a0-63ff-4903-847f-a7162e93a234,GB49TZUH01800718503242,Credit,42951.45,1.72,9033.37
ad7eb79f-4e53-46fd-a08d-269c45c19034,GB27WOTJ94910262184005,Credit,16518.52,4.73,2684.44
2de3bd74-6deb-4d7b-b20f-040079afe7ea,GB97CLIS31163297476896,Credit,1539.15,2.27,0.0
589f28da-5b46-4e02-924c-1af1ce873e5c,GB88YXMX18722055563123,Credit,22274.27,0.6,0.0
a3f6f7e9-2c6a-457e-bd4f-dac688695d83,GB33SEKZ14225758511027,Savings,3369.66,0.55,15235.2
d37be174-74c1-4b9e-97f4-958404e811f6,GB22OFFQ33421253463043,Savings,16115.63,2.71,16673.04
84989c02-10c9-4f9a-96bc-331499c40d6e,GB11OTTK40549804724524,Savings,40734.09,2.71,9475.69
daaaf21a-0e4e-4f8e-b874-c20e890990b4,GB97TTXW53802877431435,Checking,44144.97,0.39,4982.58
ac43900e-1600-43cc-a333-e0848ee8f2d3,GB04LFYO95003590866883,Credit,47037.27,1.49,6811.38
92a93d3a-78c8-4d75-bd3a-5f9200ddbe35,GB40VFWY32777478769394,Savings,26175.55,2.28,10024.01
f35d7486-1f25-40ce-bbce-ffbdd998ef1b,GB54LJME79314362538527,Credit,2910.15,0.44,16522.35
bad7c987-36a4-465d-ab59-a1ea681c74d1,GB25BHAH40847662505503,Checking,14229.06,1.53,16996.53
ec7357dd-0ee9-46e6-ac81-c969663786e6,GB73AIAD37228840130703,Savings,6456.74,2.14,3452.71
c3da8de9-21bb-4eee-9353-e2767db200ff,GB97RDVZ72646406349840,Credit,19954.84,2.18,11712.43
c70bd548-33f9-49ab-9884-3d17602337be,GB18EFXW83883714589672,Checking,7307.98,2.24,0.0
9e589b2f-9f8c-494b-860d-605669e2355f,GB02CRIS95439419688592,Checking,6280.85,2.23,12597.8
75d3afb4-33e0-4edb-b91b-17d5240145bc,GB85AEQP66600413303962,Checking,26648.9,4.85,9543.01
0c4c0ccd-c52a-49ac-8da8-a0afa483dbd0,GB35FWBP08009836280963,Checking,18103.67,1.94,15350.14
39a7f2e8-c10a-4c46-93ea-b70d807ed442,GB83NOGA55422236410015,Savings,6823.25,0.43,3412.99
e3e52818-799f-4e8f-a8b4-08e3ad384bb0,GB70HQQA38552172460912,Credit,34326.52,2.88,0.0
bdf000df-7401-4437-816f-d169653deae8,GB37ZHJN51626940650915,Credit,49565.42,2.64,0.0
165f02ae-8698-4589-987e-e0ba01b9e4da,GB82TPCR57534078480603,Checking,41974.93,4.51,3373.29
ad8ffcc4-a9b2-417d-9fac-79b605c8ffaf,GB02BTBW18516568688440,Savings,6789.94,2.2,4095.73
5b2a5613-df3e-4993-ade7-c0fe8d9160ac,GB62VQXL77957603844104,Checking,49564.5,1.78,1118.37
82a4afa6-0352-4dba-95b6-7b36e6012529,GB59UUWP35560591418685,Checking,1110.32,3.03,5654.9
72291aef-917e-4703-a9b0-e316281d1eeb,GB46JYGW97260738429617,Checking,8877.71,4.25,0.0
79ea68c1-bf6a-4ed0-9b43-186e128a1dfc,GB36DJTS83779979374446,Checking,12946.01,3.93,0.0
